"year","district","primary_type","arrests"
2001,17,"WEAPONS VIOLATION",93
2001,18,"OTHER OFFENSE",97
2001,16,"OTHER OFFENSE",450
2001,5,"ROBBERY",73
2002,1,"HOMICIDE",9
2001,15,"BATTERY",678
2001,17,"PROSTITUTION",80
2001,6,"BURGLARY",85
2001,19,"ARSON",12
2001,6,"INTERFERENCE WITH PUBLIC OFFICER",17
2001,15,"CRIM SEXUAL ASSAULT",17
2001,8,"BATTERY",1168
2001,22,"OFFENSE INVOLVING CHILDREN",25
2001,12,"BATTERY",1195
2001,11,"OFFENSE INVOLVING CHILDREN",43
2001,2,"CRIM SEXUAL ASSAULT",32
2001,18,"BATTERY",933
2001,10,"MOTOR VEHICLE THEFT",156
2001,17,"BURGLARY",52
2001,25,"ARSON",13
2001,17,"BATTERY",633
2001,9,"MOTOR VEHICLE THEFT",174
2002,19,"PROSTITUTION",311
2002,8,"OFFENSE INVOLVING CHILDREN",37
2002,7,"BATTERY",1551
2002,6,"LIQUOR LAW VIOLATION",28
2002,20,"DECEPTIVE PRACTICE",102
2002,20,"INTERFERENCE WITH PUBLIC OFFICER",3
2002,7,"OFFENSE INVOLVING CHILDREN",47
2002,19,"SEX OFFENSE",82
2002,6,"OFFENSE INVOLVING CHILDREN",42
2001,12,"PUBLIC PEACE VIOLATION",56
2002,15,"LIQUOR LAW VIOLATION",71
2002,24,"DECEPTIVE PRACTICE",137
2001,15,"PROSTITUTION",227
2001,8,"CRIMINAL TRESPASS",356
2001,3,"SEX OFFENSE",41
2001,16,"ASSAULT",223
2001,25,"MOTOR VEHICLE THEFT",245
2001,5,"GAMBLING",38
2001,9,"SEX OFFENSE",51
2001,3,"MOTOR VEHICLE THEFT",152
2001,16,"PUBLIC PEACE VIOLATION",39
2001,11,"CRIMINAL DAMAGE",163
2001,12,"INTERFERENCE WITH PUBLIC OFFICER",15
2001,11,"DECEPTIVE PRACTICE",84
2001,8,"ROBBERY",123
2001,6,"THEFT",1122
2001,22,"BATTERY",456
2001,7,"BURGLARY",105
2002,12,"ROBBERY",109
2002,12,"PUBLIC PEACE VIOLATION",60
2002,10,"WEAPONS VIOLATION",259
2002,24,"GAMBLING",50
2002,3,"ASSAULT",428
2002,12,"DECEPTIVE PRACTICE",205
2002,11,"DECEPTIVE PRACTICE",97
2002,20,"PROSTITUTION",73
2002,12,"OTHER OFFENSE",385
2002,20,"BATTERY",470
2005,11,"ASSAULT",317
2001,2,"CRIMINAL DAMAGE",270
2001,1,"THEFT",1429
2001,24,"SEX OFFENSE",29
2001,4,"THEFT",542
2001,16,"ROBBERY",35
2001,4,"ROBBERY",74
2001,25,"SEX OFFENSE",45
2001,17,"OTHER OFFENSE",181
2001,1,"WEAPONS VIOLATION",39
2001,9,"ARSON",13
2001,19,"BATTERY",1110
2001,2,"LIQUOR LAW VIOLATION",78
2001,19,"GAMBLING",26
2001,19,"WEAPONS VIOLATION",72
2001,25,"INTIMIDATION",6
2001,22,"MOTOR VEHICLE THEFT",102
2001,8,"INTIMIDATION",3
2001,7,"THEFT",357
2001,22,"INTERFERENCE WITH PUBLIC OFFICER",5
2001,17,"ASSAULT",169
2001,7,"SEX OFFENSE",27
2001,25,"CRIMINAL TRESPASS",287
2001,11,"INTERFERENCE WITH PUBLIC OFFICER",14
2002,19,"PUBLIC PEACE VIOLATION",59
2002,6,"SEX OFFENSE",38
2002,1,"BATTERY",575
2002,18,"NARCOTICS",1507
2002,25,"ROBBERY",127
2002,24,"NARCOTICS",1104
2002,11,"GAMBLING",130
2002,18,"ASSAULT",252
2002,7,"CRIMINAL DAMAGE",245
2002,8,"DECEPTIVE PRACTICE",169
2002,3,"WEAPONS VIOLATION",150
2002,10,"CRIMINAL TRESPASS",292
2001,25,"WEAPONS VIOLATION",189
2001,24,"PROSTITUTION",94
2001,7,"CRIM SEXUAL ASSAULT",38
2001,20,"BATTERY",479
2001,11,"SEX OFFENSE",18
2001,4,"CRIMINAL TRESPASS",261
2001,22,"CRIMINAL TRESPASS",171
2002,8,"HOMICIDE",19
2001,20,"GAMBLING",8
2001,12,"CRIMINAL DAMAGE",318
2001,4,"GAMBLING",32
2001,12,"KIDNAPPING",10
2001,16,"CRIM SEXUAL ASSAULT",7
2001,15,"STALKING",3
2001,3,"CRIM SEXUAL ASSAULT",31
2001,9,"ROBBERY",97
2001,2,"SEX OFFENSE",55
2001,1,"PUBLIC PEACE VIOLATION",42
2002,19,"THEFT",1066
2002,7,"INTERFERENCE WITH PUBLIC OFFICER",23
2002,15,"ARSON",8
2002,1,"THEFT",1428
2002,15,"OTHER OFFENSE",310
2002,18,"BATTERY",929
2002,10,"BURGLARY",78
2002,1,"ASSAULT",223
2002,25,"OFFENSE INVOLVING CHILDREN",68
2002,2,"PROSTITUTION",241
2002,19,"ROBBERY",100
2001,4,"OTHER OFFENSE",138
2001,25,"INTERFERENCE WITH PUBLIC OFFICER",10
2001,24,"WEAPONS VIOLATION",74
2001,10,"INTERFERENCE WITH PUBLIC OFFICER",12
2001,9,"CRIMINAL TRESPASS",469
2001,5,"MOTOR VEHICLE THEFT",148
2001,5,"CRIMINAL DAMAGE",176
2001,24,"GAMBLING",31
2002,6,"ASSAULT",365
2002,10,"PROSTITUTION",201
2002,6,"ARSON",13
2002,15,"OFFENSE INVOLVING CHILDREN",46
2002,14,"ROBBERY",76
2002,22,"ARSON",5
2002,24,"OTHER OFFENSE",175
2001,5,"HOMICIDE",21
2001,5,"INTERFERENCE WITH PUBLIC OFFICER",21
2001,22,"ROBBERY",61
2001,4,"ARSON",8
2001,6,"SEX OFFENSE",37
2002,7,"HOMICIDE",30
2001,7,"CRIMINAL TRESPASS",271
2001,17,"MOTOR VEHICLE THEFT",93
2001,10,"SEX OFFENSE",26
2001,7,"INTERFERENCE WITH PUBLIC OFFICER",24
2001,3,"PUBLIC PEACE VIOLATION",29
2001,20,"INTERFERENCE WITH PUBLIC OFFICER",9
2001,3,"OFFENSE INVOLVING CHILDREN",43
2001,10,"PUBLIC PEACE VIOLATION",33
2001,10,"OFFENSE INVOLVING CHILDREN",40
2001,22,"WEAPONS VIOLATION",104
2001,9,"GAMBLING",51
2001,10,"CRIMINAL TRESPASS",434
2001,20,"WEAPONS VIOLATION",29
2001,7,"KIDNAPPING",4
2002,22,"ROBBERY",57
2002,11,"CRIMINAL TRESPASS",453
2002,4,"PROSTITUTION",91
2002,7,"LIQUOR LAW VIOLATION",34
2002,18,"PROSTITUTION",512
2002,24,"CRIMINAL TRESPASS",255
2002,15,"GAMBLING",71
2001,12,"HOMICIDE",23
2002,12,"INTERFERENCE WITH PUBLIC OFFICER",11
2001,7,"STALKING",3
2001,5,"LIQUOR LAW VIOLATION",30
2001,1,"CRIMINAL TRESPASS",709
2001,10,"BURGLARY",51
2001,16,"BURGLARY",74
2002,10,"BATTERY",902
2002,7,"CRIM SEXUAL ASSAULT",35
2002,11,"ASSAULT",336
2002,24,"PUBLIC PEACE VIOLATION",25
2002,6,"CRIMINAL TRESPASS",436
2001,18,"STALKING",1
2001,11,"INTIMIDATION",3
2001,9,"KIDNAPPING",3
2001,1,"INTERFERENCE WITH PUBLIC OFFICER",11
2002,12,"BATTERY",1145
2002,5,"ROBBERY",62
2002,14,"PROSTITUTION",922
2002,11,"OFFENSE INVOLVING CHILDREN",61
2002,7,"CRIMINAL TRESPASS",277
2002,16,"KIDNAPPING",7
2002,24,"BATTERY",627
2002,17,"OFFENSE INVOLVING CHILDREN",21
2002,6,"BATTERY",1149
2002,12,"LIQUOR LAW VIOLATION",105
2002,7,"PROSTITUTION",248
2002,20,"NARCOTICS",681
2001,1,"PROSTITUTION",20
2001,15,"WEAPONS VIOLATION",159
2001,17,"INTERFERENCE WITH PUBLIC OFFICER",12
2001,10,"STALKING",6
2001,8,"OBSCENITY",3
2001,1,"BATTERY",377
2001,8,"PUBLIC PEACE VIOLATION",39
2001,19,"OFFENSE INVOLVING CHILDREN",14
2001,14,"KIDNAPPING",7
2001,18,"OFFENSE INVOLVING CHILDREN",21
2001,3,"INTERFERENCE WITH PUBLIC OFFICER",22
2001,1,"GAMBLING",9
2002,18,"CRIMINAL TRESPASS",1075
2002,17,"SEX OFFENSE",49
2002,11,"OTHER OFFENSE",242
2002,10,"ROBBERY",106
2002,15,"WEAPONS VIOLATION",172
2002,9,"INTERFERENCE WITH PUBLIC OFFICER",14
2002,6,"MOTOR VEHICLE THEFT",184
2002,24,"WEAPONS VIOLATION",60
2002,18,"OTHER OFFENSE",97
2002,14,"OFFENSE INVOLVING CHILDREN",49
2002,10,"LIQUOR LAW VIOLATION",109
2001,11,"HOMICIDE",48
2001,2,"PROSTITUTION",504
2001,12,"ROBBERY",90
2001,4,"CRIM SEXUAL ASSAULT",30
2001,4,"MOTOR VEHICLE THEFT",164
2001,8,"KIDNAPPING",12
2002,19,"GAMBLING",28
2002,20,"WEAPONS VIOLATION",32
2002,24,"PROSTITUTION",107
2002,10,"GAMBLING",33
2009,11,"BATTERY",971
2001,16,"STALKING",3
2001,18,"ARSON",2
2001,22,"BURGLARY",63
2001,3,"THEFT",646
2001,14,"CRIMINAL DAMAGE",200
2001,16,"OFFENSE INVOLVING CHILDREN",21
2001,22,"KIDNAPPING",10
2001,4,"PUBLIC PEACE VIOLATION",34
2001,24,"PUBLIC PEACE VIOLATION",20
2002,12,"ASSAULT",453
2002,9,"OFFENSE INVOLVING CHILDREN",55
2002,11,"KIDNAPPING",4
2001,12,"BURGLARY",101
2001,8,"STALKING",5
2001,22,"INTIMIDATION",3
2001,20,"PROSTITUTION",95
2001,2,"BURGLARY",104
2002,3,"GAMBLING",90
2002,6,"PUBLIC PEACE VIOLATION",25
2002,1,"LIQUOR LAW VIOLATION",40
2002,14,"SEX OFFENSE",40
2002,12,"GAMBLING",16
2002,19,"INTERFERENCE WITH PUBLIC OFFICER",15
2002,2,"LIQUOR LAW VIOLATION",24
2002,10,"MOTOR VEHICLE THEFT",137
2002,6,"CRIM SEXUAL ASSAULT",17
2002,18,"SEX OFFENSE",32
2001,17,"HOMICIDE",4
2001,22,"ARSON",6
2001,18,"SEX OFFENSE",42
2001,4,"INTERFERENCE WITH PUBLIC OFFICER",8
2001,19,"THEFT",974
2001,14,"GAMBLING",19
2001,24,"CRIMINAL TRESPASS",240
2002,19,"ASSAULT",386
2001,1,"ROBBERY",36
2001,6,"PUBLIC PEACE VIOLATION",15
2001,1,"OFFENSE INVOLVING CHILDREN",5
2001,15,"KIDNAPPING",3
2002,20,"PUBLIC PEACE VIOLATION",75
2002,9,"KIDNAPPING",8
2002,10,"PUBLIC PEACE VIOLATION",61
2002,7,"ROBBERY",96
2004,11,"BATTERY",1143
2001,18,"OBSCENITY",2
2001,17,"INTIMIDATION",5
2001,24,"CRIMINAL DAMAGE",135
2001,17,"PUBLIC PEACE VIOLATION",35
2001,19,"CRIMINAL DAMAGE",292
2002,11,"LIQUOR LAW VIOLATION",43
2002,12,"CRIM SEXUAL ASSAULT",17
2001,16,"CRIMINAL TRESPASS",318
2001,7,"CRIMINAL DAMAGE",230
2002,15,"SEX OFFENSE",23
2001,19,"CRIMINAL TRESPASS",711
2001,25,"ROBBERY",156
2002,17,"ROBBERY",61
2001,17,"THEFT",637
2001,20,"STALKING",1
2001,14,"STALKING",1
2001,16,"KIDNAPPING",12
2001,12,"INTIMIDATION",7
2002,19,"ARSON",9
2002,9,"STALKING",3
2001,19,"STALKING",4
2001,19,"KIDNAPPING",6
2001,3,"STALKING",2
2002,22,"GAMBLING",28
2002,18,"WEAPONS VIOLATION",74
2002,11,"ROBBERY",90
2002,7,"GAMBLING",96
2005,11,"WEAPONS VIOLATION",263
2002,12,"HOMICIDE",24
2001,8,"ARSON",9
2001,11,"THEFT",418
2001,18,"BURGLARY",56
2002,12,"SEX OFFENSE",41
2002,6,"GAMBLING",57
2002,6,"WEAPONS VIOLATION",154
2002,3,"BATTERY",1150
2002,20,"HOMICIDE",5
2001,1,"MOTOR VEHICLE THEFT",54
2001,25,"KIDNAPPING",10
2001,24,"KIDNAPPING",5
2002,20,"OFFENSE INVOLVING CHILDREN",11
2002,24,"OFFENSE INVOLVING CHILDREN",24
2001,17,"ROBBERY",60
2001,18,"CRIM SEXUAL ASSAULT",11
2001,5,"THEFT",251
2001,12,"OTHER NARCOTIC VIOLATION",2
2001,4,"KIDNAPPING",6
2001,4,"INTIMIDATION",4
2001,16,"INTIMIDATION",3
2002,14,"PUBLIC PEACE VIOLATION",85
2002,10,"SEX OFFENSE",34
2002,12,"MOTOR VEHICLE THEFT",205
2001,22,"GAMBLING",26
2001,25,"BURGLARY",97
2002,3,"CRIM SEXUAL ASSAULT",22
2002,1,"PUBLIC PEACE VIOLATION",41
2002,8,"PUBLIC PEACE VIOLATION",32
2001,24,"BURGLARY",46
2001,24,"CRIM SEXUAL ASSAULT",12
2001,9,"PUBLIC INDECENCY",2
2002,25,"BURGLARY",97
2002,20,"ASSAULT",167
2002,1,"INTIMIDATION",4
2002,12,"CRIMINAL TRESPASS",771
2002,1,"INTERFERENCE WITH PUBLIC OFFICER",18
2002,19,"CRIM SEXUAL ASSAULT",12
2002,3,"HOMICIDE",24
2001,7,"ARSON",23
2001,14,"INTERFERENCE WITH PUBLIC OFFICER",7
2002,3,"MOTOR VEHICLE THEFT",129
2001,14,"INTIMIDATION",6
2001,14,"BURGLARY",82
2002,25,"KIDNAPPING",9
2002,1,"OFFENSE INVOLVING CHILDREN",13
2002,2,"PUBLIC PEACE VIOLATION",35
2002,17,"ARSON",6
2003,7,"HOMICIDE",34
2001,10,"THEFT",454
2001,11,"CRIM SEXUAL ASSAULT",17
2001,14,"CRIMINAL TRESPASS",194
2001,15,"THEFT",202
2002,3,"CRIMINAL TRESPASS",560
2002,24,"SEX OFFENSE",34
2002,18,"ROBBERY",78
2002,14,"WEAPONS VIOLATION",139
2001,22,"THEFT",262
2002,14,"THEFT",535
2002,24,"LIQUOR LAW VIOLATION",50
2002,22,"PUBLIC PEACE VIOLATION",20
2002,11,"CRIMINAL DAMAGE",196
2001,15,"PUBLIC PEACE VIOLATION",20
2001,4,"BURGLARY",76
2002,14,"GAMBLING",14
2002,10,"OFFENSE INVOLVING CHILDREN",31
2002,22,"INTIMIDATION",3
2002,7,"BURGLARY",106
2007,12,"PUBLIC PEACE VIOLATION",138
2001,24,"INTERFERENCE WITH PUBLIC OFFICER",13
2001,3,"CRIMINAL DAMAGE",208
2002,22,"OFFENSE INVOLVING CHILDREN",18
2002,20,"ROBBERY",42
2002,1,"KIDNAPPING",1
2001,25,"CRIMINAL DAMAGE",258
2001,24,"THEFT",522
2002,16,"INTERFERENCE WITH PUBLIC OFFICER",7
2002,1,"WEAPONS VIOLATION",57
2002,19,"BURGLARY",74
2003,14,"HOMICIDE",20
2008,12,"DECEPTIVE PRACTICE",97
2001,3,"HOMICIDE",24
2001,8,"THEFT",1413
2001,9,"INTERFERENCE WITH PUBLIC OFFICER",19
2002,19,"CRIMINAL TRESPASS",832
2002,10,"CRIMINAL DAMAGE",239
2002,4,"GAMBLING",23
2002,16,"STALKING",5
2003,18,"HOMICIDE",9
2001,9,"HOMICIDE",24
2001,12,"CRIM SEXUAL ASSAULT",18
2001,24,"MOTOR VEHICLE THEFT",97
2001,16,"OBSCENITY",3
2001,3,"KIDNAPPING",4
2002,24,"ROBBERY",66
2002,18,"GAMBLING",6
2011,11,"NARCOTICS",5301
2001,8,"INTERFERENCE WITH PUBLIC OFFICER",5
2002,15,"STALKING",5
2002,5,"ARSON",10
2002,11,"INTERFERENCE WITH PUBLIC OFFICER",9
2002,25,"INTIMIDATION",6
2002,12,"THEFT",750
2002,24,"MOTOR VEHICLE THEFT",97
2001,16,"THEFT",414
2001,8,"OTHER NARCOTIC VIOLATION",1
2001,16,"CRIMINAL DAMAGE",155
2001,16,"ARSON",2
2001,24,"HOMICIDE",8
2001,14,"HOMICIDE",18
2002,1,"CRIMINAL TRESPASS",1326
2002,8,"ARSON",10
2002,25,"CRIM SEXUAL ASSAULT",27
2009,12,"BATTERY",764
2001,12,"ARSON",9
2001,11,"ARSON",12
2002,6,"THEFT",927
2002,18,"HOMICIDE",12
2002,18,"THEFT",1231
2002,20,"MOTOR VEHICLE THEFT",45
2001,1,"CRIM SEXUAL ASSAULT",6
2002,20,"THEFT",369
2001,7,"HOMICIDE",27
2002,2,"HOMICIDE",13
2001,20,"BURGLARY",39
2002,3,"PUBLIC PEACE VIOLATION",26
2002,18,"OFFENSE INVOLVING CHILDREN",13
2002,1,"PROSTITUTION",52
2002,19,"CRIMINAL DAMAGE",250
2002,16,"WEAPONS VIOLATION",95
2002,12,"BURGLARY",103
2005,11,"PUBLIC PEACE VIOLATION",33
2001,15,"CRIMINAL TRESPASS",169
2002,1,"SEX OFFENSE",37
2002,11,"SEX OFFENSE",19
2002,14,"CRIMINAL TRESPASS",167
2002,7,"ARSON",14
2002,2,"ROBBERY",94
2003,15,"HOMICIDE",19
2002,11,"HOMICIDE",47
2001,14,"ARSON",3
2002,15,"MOTOR VEHICLE THEFT",130
2002,14,"CRIM SEXUAL ASSAULT",27
2002,8,"ROBBERY",127
2002,9,"OBSCENITY",2
2004,11,"HOMICIDE",17
2001,1,"HOMICIDE",8
2001,2,"KIDNAPPING",6
2001,19,"INTIMIDATION",3
2002,18,"PUBLIC INDECENCY",2
2002,20,"SEX OFFENSE",31
2002,15,"ROBBERY",33
2002,1,"ROBBERY",38
2009,25,"ROBBERY",92
2009,11,"ROBBERY",95
2007,12,"BATTERY",882
2006,11,"BATTERY",1001
2008,11,"BATTERY",980
2005,11,"BATTERY",1044
2011,12,"BATTERY",607
2007,11,"BATTERY",1009
2008,11,"ASSAULT",298
2004,11,"ASSAULT",375
2002,18,"BURGLARY",57
2007,6,"BURGLARY",76
2001,3,"BURGLARY",56
2002,14,"BURGLARY",98
2002,6,"BURGLARY",78
2002,2,"BURGLARY",95
2002,11,"BURGLARY",55
2001,11,"BURGLARY",42
2002,3,"BURGLARY",44
2002,20,"BURGLARY",27
2001,15,"BURGLARY",35
2001,1,"BURGLARY",49
2002,24,"BURGLARY",40
2010,11,"BURGLARY",77
2002,1,"BURGLARY",36
2003,11,"BURGLARY",71
2010,12,"BURGLARY",58
2002,7,"THEFT",329
2002,24,"THEFT",408
2002,3,"THEFT",449
2002,10,"THEFT",288
2002,15,"THEFT",220
2002,11,"THEFT",388
2008,6,"THEFT",609
2009,6,"THEFT",484
2011,6,"THEFT",454
2012,6,"THEFT",585
2008,1,"THEFT",950
2002,19,"MOTOR VEHICLE THEFT",105
2002,18,"MOTOR VEHICLE THEFT",65
2002,1,"MOTOR VEHICLE THEFT",59
2009,11,"MOTOR VEHICLE THEFT",68
2001,4,"CRIMINAL DAMAGE",227
2001,22,"CRIMINAL DAMAGE",97
2001,18,"CRIMINAL DAMAGE",179
2001,17,"CRIMINAL DAMAGE",156
2002,20,"CRIMINAL DAMAGE",104
2002,6,"CRIMINAL DAMAGE",203
2002,3,"CRIMINAL DAMAGE",209
2001,20,"CRIMINAL DAMAGE",119
2001,15,"CRIMINAL DAMAGE",117
2002,18,"CRIMINAL DAMAGE",158
2007,12,"CRIMINAL DAMAGE",214
2001,1,"CRIMINAL DAMAGE",109
2002,15,"CRIMINAL DAMAGE",125
2002,25,"CRIMINAL DAMAGE",223
2002,24,"CRIMINAL DAMAGE",134
2002,17,"CRIMINAL DAMAGE",174
2002,20,"CRIMINAL TRESPASS",244
2007,11,"CRIMINAL TRESPASS",240
2010,6,"CRIMINAL TRESPASS",362
2011,12,"CRIMINAL TRESPASS",291
2009,20,"CRIMINAL TRESPASS",121
2009,12,"WEAPONS VIOLATION",94
2002,6,"PROSTITUTION",92
2007,12,"PROSTITUTION",380
2012,11,"NARCOTICS",5591
2009,20,"NARCOTICS",411
2008,11,"NARCOTICS",5900
2011,12,"OTHER OFFENSE",133
2015,24,"NARCOTICS",372
2016,24,"OFFENSE INVOLVING CHILDREN",8
2019,24,"CRIMINAL TRESPASS",100
2019,24,"OTHER OFFENSE",55
2015,24,"OTHER OFFENSE",67
2017,24,"NARCOTICS",116
2003,24,"WEAPONS VIOLATION",73
2003,24,"DECEPTIVE PRACTICE",88
2003,24,"ASSAULT",164
2003,24,"NARCOTICS",1112
2004,24,"CRIMINAL TRESPASS",299
2004,24,"BATTERY",559
2004,24,"DECEPTIVE PRACTICE",87
2004,24,"NARCOTICS",1050
2005,24,"DECEPTIVE PRACTICE",95
2005,24,"NARCOTICS",1479
2006,24,"BATTERY",610
2006,24,"NARCOTICS",1396
2007,24,"NARCOTICS",1290
2007,24,"DECEPTIVE PRACTICE",137
2009,24,"WEAPONS VIOLATION",54
2010,24,"CRIMINAL DAMAGE",77
2010,24,"OTHER OFFENSE",56
2010,24,"PROSTITUTION",36
2010,24,"WEAPONS VIOLATION",44
2011,24,"BATTERY",505
2011,24,"CRIMINAL TRESPASS",170
2011,24,"NARCOTICS",771
2011,24,"DECEPTIVE PRACTICE",51
2011,24,"ASSAULT",143
2012,24,"BATTERY",458
2015,24,"DECEPTIVE PRACTICE",25
2016,24,"MOTOR VEHICLE THEFT",24
2016,24,"NARCOTICS",178
2016,24,"INTERFERENCE WITH PUBLIC OFFICER",14
2018,24,"NARCOTICS",114
2003,24,"OTHER OFFENSE",118
2003,24,"BATTERY",579
2003,24,"GAMBLING",38
2004,24,"SEX OFFENSE",23
2004,24,"PUBLIC PEACE VIOLATION",29
2005,24,"CRIMINAL TRESPASS",315
2005,24,"SEX OFFENSE",23
2005,24,"ASSAULT",199
2005,24,"PROSTITUTION",149
2005,24,"BATTERY",625
2006,24,"LIQUOR LAW VIOLATION",64
2006,24,"OTHER OFFENSE",163
2006,24,"PUBLIC PEACE VIOLATION",37
2007,24,"LIQUOR LAW VIOLATION",44
2007,24,"ROBBERY",52
2007,24,"SEX OFFENSE",20
2008,24,"NARCOTICS",1253
2009,24,"NARCOTICS",1092
2009,24,"BATTERY",529
2009,24,"ASSAULT",185
2012,24,"OFFENSE INVOLVING CHILDREN",22
2012,24,"LIQUOR LAW VIOLATION",30
2013,24,"BATTERY",430
2013,24,"DECEPTIVE PRACTICE",49
2017,24,"OFFENSE INVOLVING CHILDREN",13
2012,24,"NARCOTICS",733
2016,24,"ASSAULT",75
2018,24,"ASSAULT",88
2018,24,"CRIMINAL DAMAGE",45
2004,24,"ASSAULT",190
2004,24,"LIQUOR LAW VIOLATION",48
2005,24,"GAMBLING",28
2008,24,"BATTERY",239
2009,24,"PROSTITUTION",41
2009,24,"INTERFERENCE WITH PUBLIC OFFICER",18
2010,24,"BATTERY",394
2010,24,"DECEPTIVE PRACTICE",46
2010,24,"NARCOTICS",1009
2012,24,"ASSAULT",170
2012,24,"OTHER OFFENSE",73
2015,24,"PUBLIC PEACE VIOLATION",39
2016,24,"WEAPONS VIOLATION",36
2019,24,"NARCOTICS",160
2002,24,"CRIM SEXUAL ASSAULT",13
2003,24,"PROSTITUTION",139
2003,24,"CRIMINAL TRESPASS",318
2004,24,"WEAPONS VIOLATION",52
2004,24,"CRIMINAL DAMAGE",114
2006,24,"CRIMINAL TRESPASS",414
2007,24,"OTHER OFFENSE",110
2007,24,"WEAPONS VIOLATION",55
2009,24,"CRIMINAL TRESPASS",306
2011,24,"OTHER OFFENSE",81
2012,24,"GAMBLING",7
2013,24,"OTHER OFFENSE",74
2014,24,"OFFENSE INVOLVING CHILDREN",9
2016,24,"OTHER OFFENSE",47
2016,24,"DECEPTIVE PRACTICE",17
2018,24,"PUBLIC PEACE VIOLATION",12
2003,24,"MOTOR VEHICLE THEFT",64
2006,24,"OFFENSE INVOLVING CHILDREN",12
2007,24,"OFFENSE INVOLVING CHILDREN",28
2007,24,"PUBLIC PEACE VIOLATION",33
2007,24,"BATTERY",621
2008,24,"DECEPTIVE PRACTICE",46
2008,24,"PROSTITUTION",95
2008,24,"PUBLIC PEACE VIOLATION",14
2009,24,"LIQUOR LAW VIOLATION",32
2010,24,"ASSAULT",138
2011,24,"INTERFERENCE WITH PUBLIC OFFICER",34
2012,24,"ROBBERY",56
2013,24,"NARCOTICS",595
2017,24,"PUBLIC PEACE VIOLATION",17
2017,24,"INTERFERENCE WITH PUBLIC OFFICER",18
2018,24,"BATTERY",308
2004,24,"ROBBERY",62
2004,24,"MOTOR VEHICLE THEFT",90
2005,24,"CRIMINAL DAMAGE",129
2005,24,"ROBBERY",60
2009,24,"CRIMINAL DAMAGE",105
2009,24,"ROBBERY",65
2009,24,"GAMBLING",23
2012,24,"CRIMINAL TRESPASS",205
2012,24,"PUBLIC PEACE VIOLATION",56
2013,24,"OFFENSE INVOLVING CHILDREN",19
2013,24,"PUBLIC PEACE VIOLATION",36
2016,24,"PUBLIC PEACE VIOLATION",21
2017,24,"DECEPTIVE PRACTICE",15
2017,24,"BATTERY",270
2019,24,"BATTERY",248
2006,24,"SEX OFFENSE",19
2007,24,"PROSTITUTION",116
2009,24,"SEX OFFENSE",21
2010,24,"GAMBLING",11
2010,24,"ROBBERY",58
2011,24,"ARSON",2
2012,24,"PROSTITUTION",41
2012,24,"INTERFERENCE WITH PUBLIC OFFICER",49
2017,24,"WEAPONS VIOLATION",36
2018,24,"SEX OFFENSE",13
2012,24,"HOMICIDE",10
2003,24,"LIQUOR LAW VIOLATION",61
2003,24,"THEFT",363
2004,24,"PROSTITUTION",157
2006,24,"DECEPTIVE PRACTICE",112
2006,24,"ASSAULT",228
2007,24,"GAMBLING",15
2008,24,"CRIMINAL TRESPASS",92
2008,24,"WEAPONS VIOLATION",48
2012,24,"SEX OFFENSE",17
2017,24,"CRIMINAL TRESPASS",136
2017,24,"ASSAULT",90
2018,24,"OTHER OFFENSE",47
2003,24,"INTERFERENCE WITH PUBLIC OFFICER",15
2003,24,"PUBLIC PEACE VIOLATION",26
2006,24,"CRIMINAL DAMAGE",135
2007,24,"ASSAULT",221
2008,24,"OBSCENITY",1
2010,24,"LIQUOR LAW VIOLATION",28
2011,24,"OBSCENITY",4
2012,24,"WEAPONS VIOLATION",73
2015,24,"BATTERY",336
2017,24,"OTHER OFFENSE",72
2017,24,"MOTOR VEHICLE THEFT",29
2005,24,"OFFENSE INVOLVING CHILDREN",27
2006,24,"ROBBERY",63
2008,24,"LIQUOR LAW VIOLATION",26
2004,24,"OFFENSE INVOLVING CHILDREN",20
2007,24,"HOMICIDE",9
2005,24,"MOTOR VEHICLE THEFT",68
2006,24,"PROSTITUTION",191
2008,24,"ROBBERY",48
2009,24,"DECEPTIVE PRACTICE",84
2011,24,"WEAPONS VIOLATION",63
2014,24,"DECEPTIVE PRACTICE",28
2014,24,"OTHER OFFENSE",59
2014,24,"ASSAULT",130
2016,24,"BATTERY",273
2016,24,"HOMICIDE",7
2004,24,"GAMBLING",39
2005,24,"WEAPONS VIOLATION",77
2005,24,"THEFT",322
2009,24,"PUBLIC PEACE VIOLATION",58
2010,24,"SEX OFFENSE",20
2011,24,"PUBLIC PEACE VIOLATION",53
2015,24,"CRIMINAL TRESPASS",123
2015,24,"INTERFERENCE WITH PUBLIC OFFICER",23
2006,24,"BURGLARY",40
2006,24,"ARSON",5
2013,24,"CRIM SEXUAL ASSAULT",9
2019,24,"DECEPTIVE PRACTICE",16
2005,24,"OTHER OFFENSE",196
2011,24,"CRIMINAL DAMAGE",73
2013,24,"CRIMINAL TRESPASS",224
2013,24,"WEAPONS VIOLATION",67
2015,24,"WEAPONS VIOLATION",45
2015,24,"OFFENSE INVOLVING CHILDREN",12
2019,24,"ASSAULT",81
2004,24,"CRIM SEXUAL ASSAULT",12
2009,24,"CRIM SEXUAL ASSAULT",9
2013,24,"CRIMINAL DAMAGE",63
2008,24,"ASSAULT",80
2015,24,"HOMICIDE",7
2016,24,"SEX OFFENSE",6
2003,24,"KIDNAPPING",3
